#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 11 48 340  1.0  1.5    MM    MM    MM  MM 1029.2   7.4  12.8    MM   MM   MM    MM
2023 11 15 11 42 340  1.5  2.1    MM    MM    MM  MM 1029.1   7.2  12.8    MM   MM   MM    MM
2023 11 15 11 36 340  1.5  2.1    MM    MM    MM  MM 1029.1   7.6  12.8    MM   MM   MM    MM
2023 11 15 11 30 350  1.5  2.1    MM    MM    MM  MM 1029.0   7.6  12.7    MM   MM   MM    MM
2023 11 15 11 24 350  1.5  2.1    MM    MM    MM  MM 1028.9   7.3  12.6    MM   MM   MM    MM
2023 11 15 11 18 320  1.5  1.5    MM    MM    MM  MM 1029.0   7.0  12.5    MM   MM   MM    MM
2023 11 15 11 12 340  1.5  2.1    MM    MM    MM  MM 1029.0   7.3  12.5    MM   MM   MM    MM
2023 11 15 11 06 340  1.5  2.1    MM    MM    MM  MM 1029.0   7.3  12.5    MM   MM   MM    MM
2023 11 15 11 00 340  1.5  2.1    MM    MM    MM  MM 1029.1   7.7  12.4    MM   MM +0.9    MM
2023 11 15 10 54 360  2.1  2.6    MM    MM    MM  MM 1029.0   7.8  12.4    MM   MM   MM    MM
2023 11 15 10 48  10  2.1  2.6    MM    MM    MM  MM 1028.9   7.8  12.4    MM   MM   MM    MM
2023 11 15 10 42  10  2.1  2.6    MM    MM    MM  MM 1028.9   7.6  12.4    MM   MM   MM    MM
2023 11 15 10 36  10  2.1  2.6    MM    MM    MM  MM 1028.9   7.4  12.5    MM   MM   MM    MM
2023 11 15 10 30 350  2.1  2.6    MM    MM    MM  MM 1028.9   7.4  12.5    MM   MM   MM    MM
2023 11 15 10 24 360  2.1  2.6    MM    MM    MM  MM 1029.0   7.3  12.5    MM   MM   MM    MM
2023 11 15 10 18 360  2.6  2.6    MM    MM    MM  MM 1029.0   7.4  12.5    MM   MM   MM    MM
2023 11 15 10 12  10  2.6  3.1    MM    MM    MM  MM 1029.0   7.4  12.5    MM   MM   MM    MM
2023 11 15 10 06  10  2.1  2.6    MM    MM    MM  MM 1028.9   7.3  12.6    MM   MM   MM    MM
2023 11 15 10 00  20  1.5  2.6    MM    MM    MM  MM 1028.7   7.1  12.6    MM   MM +0.5    MM
2023 11 15 09 54  10  2.6  2.6    MM    MM    MM  MM 1028.7   6.8  12.6    MM   MM   MM    MM
2023 11 15 09 48 350  2.6  2.6    MM    MM    MM  MM 1028.8   6.9  12.7    MM   MM   MM    MM
2023 11 15 09 42  10  2.6  3.1    MM    MM    MM  MM 1028.7   6.9  12.6    MM   MM   MM    MM
2023 11 15 09 36  10  2.1  2.6    MM    MM    MM  MM 1028.6   6.8  12.7    MM   MM   MM    MM
2023 11 15 09 30 360  2.1  2.6    MM    MM    MM  MM 1028.7   6.6  12.7    MM   MM   MM    MM
2023 11 15 09 24 350  2.6  3.1    MM    MM    MM  MM 1028.6   6.7  12.7    MM   MM   MM    MM
2023 11 15 09 18 360  2.1  2.6    MM    MM    MM  MM 1028.7   6.6  12.7    MM   MM   MM    MM
2023 11 15 09 12 360  2.1  2.6    MM    MM    MM  MM 1028.6   6.6  12.8    MM   MM   MM    MM
2023 11 15 09 06 350  2.6  3.1    MM    MM    MM  MM 1028.5   6.8  12.8    MM   MM   MM    MM
2023 11 15 09 00 350  2.6  3.1    MM    MM    MM  MM 1028.5   6.8  12.8    MM   MM +0.5    MM
2023 11 15 08 54 350  2.1  2.6    MM    MM    MM  MM 1028.5   6.8  12.9    MM   MM   MM    MM
2023 11 15 08 48  MM   MM   MM    MM    MM    MM  MM 1028.4   6.7  12.9    MM   MM   MM    MM
2023 11 15 08 42  MM   MM   MM    MM    MM    MM  MM 1028.6   6.8  12.9    MM   MM   MM    MM
2023 11 15 08 36  MM   MM   MM    MM    MM    MM  MM 1028.5   7.3  13.0    MM   MM   MM    MM
2023 11 15 08 30 350  2.6  2.6    MM    MM    MM  MM 1028.4   7.4  13.0    MM   MM   MM    MM
2023 11 15 08 24 340  2.6  3.1    MM    MM    MM  MM 1028.3   7.5  13.2    MM   MM   MM    MM
2023 11 15 08 18 340  2.6  3.1    MM    MM    MM  MM 1028.3   7.4  13.2    MM   MM   MM    MM
2023 11 15 08 12 340  2.1  2.6    MM    MM    MM  MM 1028.3   7.4  13.2    MM   MM   MM    MM
2023 11 15 08 06 340  2.6  3.6    MM    MM    MM  MM 1028.2   7.5  13.3    MM   MM   MM    MM
2023 11 15 08 00 350  2.6  3.1    MM    MM    MM  MM 1028.2   7.5  13.3    MM   MM +0.5    MM
2023 11 15 07 54  10  2.6  3.1    MM    MM    MM  MM 1028.3   7.2  13.3    MM   MM   MM    MM
2023 11 15 07 48 360  2.6  3.1    MM    MM    MM  MM 1028.2   7.2  13.4    MM   MM   MM    MM
2023 11 15 07 42 350  2.6  3.1    MM    MM    MM  MM 1028.3   7.1  13.4    MM   MM   MM    MM
2023 11 15 07 36 360  2.6  3.1    MM    MM    MM  MM 1028.2   6.9  13.5    MM   MM   MM    MM
2023 11 15 07 30  10  3.1  3.6    MM    MM    MM  MM     MM   7.0  13.5    MM   MM   MM    MM
2023 11 15 07 24 360  3.6  3.6    MM    MM    MM  MM     MM   7.0  13.5    MM   MM   MM    MM
